zip1,borough,asphalt,missing,faded,complaints,income,pop,pwhite,pblack,pcomp
ZIP_10471,BRONX,2059,2,32,2093,107497,21935,70,7.9,0.095418281
ZIP_10472,BRONX,1130,1,24,1155,49360,69659,15.6,28.7,0.016580772
ZIP_10473,BRONX,1079,1,19,1099,56880,59948,24.8,42,0.018332555
ZIP_10474,BRONX,603,0,7,610,37028,12223,24.7,32.3,0.049905915
ZIP_10475,BRONX,645,5,110,760,66180,44582,16.7,59.5,0.017047239
ZIP_10803,BRONX,33,0,0,33,232513,12523,79.7,8.1,0.002635151
ZIP_11001,QUEENS,97,0,5,102,116979,27156,70.9,6.5,0.003756076
ZIP_11004,QUEENS,471,7,10,488,96722,14045,48.9,7.2,0.034745461
ZIP_11005,QUEENS,15,0,2,17,61799,2123,98.4,0.8,0.008007537
ZIP_11040,QUEENS,105,0,5,110,122437,40799,56.4,1.2,0.002696145
ZIP_11101,QUEENS,3125,6,75,3206,84058,25317,48.9,18.2,0.126634277
ZIP_11102,QUEENS,937,2,30,969,73767,35027,57.1,10.4,0.027664373
ZIP_11103,QUEENS,902,5,26,933,75885,38257,74.5,2.8,0.024387694
ZIP_11104,QUEENS,450,0,13,463,74239,26555,66.4,1.4,0.017435511
ZIP_11105,QUEENS,924,0,32,956,79996,36816,75.8,2.3,0.025966971
ZIP_11106,QUEENS,1015,1,27,1043,74934,38633,59.3,8,0.026997645
ZIP_11109,QUEENS,58,0,1,59,168940,4337,71.4,5.3,0.013603874
ZIP_11201,BROOKLYN,2515,4,182,2701,159984,56488,64.7,13.6,0.047815465
ZIP_11203,BROOKLYN,2504,3,48,2555,63353,77011,4.4,89.9,0.033177079
ZIP_11204,BROOKLYN,2439,7,15,2461,68241,80349,65.3,0.6,0.030628882
ZIP_11205,BROOKLYN,1104,1,16,1121,80156,43320,46.4,32.2,0.025877193
ZIP_11206,BROOKLYN,1659,14,27,1700,56291,83180,45.1,25.9,0.020437605
ZIP_11207,BROOKLYN,3204,8,55,3267,53132,93465,15.1,65.7,0.034954261
ZIP_11208,BROOKLYN,2998,16,25,3039,56086,92262,29.2,55,0.032938805
ZIP_11209,BROOKLYN,2148,6,33,2187,92584,72582,75.7,2.5,0.030131438
ZIP_11210,BROOKLYN,1982,18,25,2025,77364,67042,31.5,58.4,0.030204946
ZIP_11211,BROOKLYN,1839,9,74,1922,86014,94681,79.4,5,0.020299743
ZIP_11212,BROOKLYN,2100,4,34,2138,47834,87751,4.1,86.1,0.024364395
ZIP_11213,BROOKLYN,1352,4,24,1380,54186,62756,19.8,69.7,0.021989929
ZIP_11214,BROOKLYN,2256,5,20,2281,69607,88297,54.9,1,0.025833267
ZIP_11215,BROOKLYN,2459,3,53,2515,139515,70156,73.8,4.8,0.03584868
ZIP_11216,BROOKLYN,1340,3,25,1368,69019,54440,17.9,71.7,0.025128582
ZIP_11217,BROOKLYN,1554,4,60,1618,124132,38567,55.1,20,0.041952965
ZIP_11218,BROOKLYN,1929,4,36,1969,76050,75132,57.4,8.2,0.026207209
ZIP_11219,BROOKLYN,2765,4,20,2789,54293,98719,65.9,1.2,0.028251907
ZIP_11220,BROOKLYN,2783,11,47,2841,56796,101715,29.5,2.5,0.027930984
ZIP_11221,BROOKLYN,1586,9,32,1627,61943,83773,30,56.7,0.019421532
ZIP_11222,BROOKLYN,1479,2,56,1537,88819,34580,83.7,3,0.044447658
ZIP_11223,BROOKLYN,2765,4,14,2783,70002,76651,64.9,4.3,0.036307419
ZIP_11224,BROOKLYN,1350,4,10,1364,61004,42698,60.3,21.7,0.03194529
ZIP_11225,BROOKLYN,981,5,30,1016,61763,59613,18.8,73.1,0.017043262
ZIP_11226,BROOKLYN,1668,5,59,1732,60304,98299,9,74.5,0.017619711
ZIP_11228,BROOKLYN,1730,3,11,1744,91077,46059,64.2,1,0.037864478
ZIP_11229,BROOKLYN,3869,19,29,3917,77796,81351,70.1,5.1,0.048149377
ZIP_11230,BROOKLYN,3175,10,25,3210,72951,87064,70.4,7.6,0.036869429
ZIP_11231,BROOKLYN,1624,2,35,1661,130084,34605,66.4,12.4,0.047998844
ZIP_11232,BROOKLYN,1833,2,25,1860,61271,29452,36.6,5.2,0.063153606
ZIP_11233,BROOKLYN,1723,4,22,1749,56512,69637,4.7,83.2,0.025115958
ZIP_11234,BROOKLYN,4282,7,49,4338,88043,95610,44.3,46.4,0.045371823
ZIP_11235,BROOKLYN,3100,21,35,3156,84338,75622,80.6,2.6,0.041733887
ZIP_11236,BROOKLYN,3496,3,17,3516,75415,97714,5.8,85.4,0.035982561
ZIP_11237,BROOKLYN,1391,1,11,1403,62591,55258,44.8,15.1,0.025389989
ZIP_11238,BROOKLYN,1403,10,37,1450,96565,51959,41.3,42.6,0.027906619
ZIP_11239,BROOKLYN,128,3,2,133,50538,12943,32.5,54.2,0.010275825
ZIP_11354,QUEENS,2456,5,96,2557,69547,56433,25.1,3.6,0.045310368
ZIP_11355,QUEENS,1910,2,26,1938,61349,83799,14.4,2.7,0.023126768
ZIP_11356,QUEENS,1585,2,79,1666,72470,23800,37.7,1.9,0.07
ZIP_11357,QUEENS,2455,9,126,2590,96441,40588,76.1,0.4,0.063811964
ZIP_11358,QUEENS,1732,3,61,1796,83316,37634,47.7,1.9,0.047722804
ZIP_11360,QUEENS,476,4,9,489,103853,19916,65.8,1.1,0.024553123
ZIP_11361,QUEENS,1604,8,36,1648,94318,30352,52.2,2.6,0.054296257
ZIP_11362,QUEENS,954,0,28,982,99557,17897,52.2,2.3,0.054869531
ZIP_11363,QUEENS,1140,2,11,1153,126846,7625,56.4,0.9,0.151213115
ZIP_11364,QUEENS,1778,16,23,1817,90629,34902,42.5,2.2,0.052060054
ZIP_11365,QUEENS,1890,10,40,1940,79341,43138,36.4,5.6,0.04497195
ZIP_11366,QUEENS,1063,0,16,1079,96581,13146,50.3,5.8,0.082078199
ZIP_11367,QUEENS,1686,12,42,1740,74755,41582,56.2,9.3,0.041845029
ZIP_11368,QUEENS,1541,3,29,1573,57737,110385,41.8,13.2,0.014250125
ZIP_11369,QUEENS,863,1,9,873,67943,39862,25.7,17,0.021900557
ZIP_11370,QUEENS,969,2,18,989,73138,36271,37.9,14.8,0.027266963
ZIP_11372,QUEENS,1368,3,13,1384,66793,63202,61.2,2.6,0.021898041
ZIP_11373,QUEENS,1727,7,68,1802,68575,100713,38,1.7,0.017892427
ZIP_11374,QUEENS,1016,12,49,1077,77364,41792,62.9,2.9,0.025770482
ZIP_11375,QUEENS,2179,14,87,2280,103311,69652,64.2,2.9,0.032734164
ZIP_11377,QUEENS,2652,15,91,2758,65678,88939,48,2.8,0.031010018
ZIP_11378,QUEENS,2349,10,361,2720,74457,30854,76.6,1.8,0.088157127
ZIP_11379,QUEENS,1601,5,274,1880,91492,35725,85.8,1.3,0.052624213
ZIP_11385,BROOKLYN,3276,13,447,3736,73444,100132,81.5,2.1,0.03731075
ZIP_11411,QUEENS,1324,4,16,1344,88723,19177,2.9,91.9,0.070083955
ZIP_11412,QUEENS,1167,3,10,1180,79830,37690,1.9,88.9,0.031308039
ZIP_11413,QUEENS,1881,8,35,1924,88272,41689,2.3,92.2,0.046151263
ZIP_11414,QUEENS,1467,3,26,1496,96420,28742,84,2.5,0.052049266
ZIP_11415,QUEENS,1008,2,32,1042,86328,19020,60.4,6.9,0.054784437
ZIP_11416,QUEENS,1082,2,15,1099,73020,25973,26.5,6.2,0.042313171
ZIP_11417,QUEENS,2168,13,40,2221,79448,31556,39.3,7.8,0.070382812
ZIP_11418,QUEENS,1762,4,36,1802,73998,36751,35.2,7.8,0.049032679
ZIP_11419,QUEENS,1213,2,17,1232,67059,48370,11.1,17,0.025470333
ZIP_11420,QUEENS,2344,4,52,2400,74273,50162,16.2,26.8,0.047844982
ZIP_11421,BROOKLYN,1253,8,24,1285,77253,42745,45.8,6.8,0.030061996
ZIP_11422,QUEENS,1573,7,37,1617,88151,32589,7.9,85.4,0.049617969
ZIP_11423,QUEENS,1558,5,17,1580,77727,32053,15.4,41.2,0.049293358
ZIP_11426,QUEENS,690,2,19,711,96432,19348,46.6,3.6,0.036747984
ZIP_11427,QUEENS,1129,5,24,1158,86896,23460,27.6,25.5,0.049360614
ZIP_11428,QUEENS,1248,7,16,1271,77415,20461,23,18.7,0.062118176
ZIP_11429,QUEENS,926,0,13,939,84388,27506,5.2,81.5,0.034138006
ZIP_11432,QUEENS,2273,3,62,2338,67535,62395,22.8,16.7,0.037470951
ZIP_11433,QUEENS,1383,5,22,1410,65882,37927,3.5,64.9,0.037176682
ZIP_11434,QUEENS,2121,5,56,2182,71785,65255,2.9,86.9,0.033438051
ZIP_11435,QUEENS,1549,0,32,1581,68255,54523,22,24,0.028996937
ZIP_11436,QUEENS,520,2,18,540,76273,18609,6.2,70.1,0.029018217
ZIP_11691,QUEENS,2006,2,42,2050,66430,62577,37.5,47.4,0.03275964
ZIP_11692,QUEENS,614,0,8,622,61546,17970,28.6,57.2,0.034613244
ZIP_11693,QUEENS,623,3,20,646,70144,11338,56.2,31.8,0.056976539
ZIP_11694,QUEENS,1126,0,28,1154,93502,21507,84.6,7.7,0.053656949
ZIP_11697,QUEENS,42,0,3,45,108378,4078,98.8,0.1,0.011034821
